Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain 1
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.3	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.3	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.3	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-n1c(C)nc2ccccc12	ATR Interacting Protein	0.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c([H]C(F)F)nc2ccccc12	ATR Interacting Protein	0.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-n1c(C)nc2ccccc12	ATR Interacting Protein	0.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c([H]C(F)F)nc2ccccc12	ATR Interacting Protein	0.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@@](C)(=O)C2CC2)nc(n1)-n1c(C)nc2ccccc12	ATR Interacting Protein	0.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c(nc2ccccc12)C(F)F	ATR Interacting Protein	0.4	US Patent	"9L4F,9L4C,9L46,9L45,9L43,5YZ0,9L4D,7XV4"
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c(CF)nc2ccccc12	ATR Interacting Protein	0.5	US Patent	"5YZ0,7XV4"
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c(CF)nc2ccccc12	ATR Interacting Protein	0.5	US Patent	"5YZ0,7XV4"
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-n1c(CF)nc2ccccc12	ATR Interacting Protein	0.5	US Patent	"5YZ0,7XV4"
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2COC2)nc(n1)-n1cnc2ccccc12	ATR Interacting Protein	0.7	US Patent	5YZ0
