Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
COCCN1CCN(CC1)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.3	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1ccc(cc1C#Cc1cc(cnc1N)-c1cnn(C)c1)C(=O)Nc1cccc(Cl)c1	Colony Stimulating?Factor?1	1.3	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	Colony Stimulating?Factor?1	1.3	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1ccc(cc1C#Cc1cc(cnc1N)-c1cnn(C)c1)C(=O)Nc1cccc(Cl)c1	Colony Stimulating?Factor?1	1.3	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN(Cc1cccc(C)c1)c1ncnc2[nH]c(nc12)-c1ccc(CO)cc1	Colony Stimulating?Factor?1	1.3	ChEMBL	"4LIQ,6T2W,4DKD"			
CN(CC1CCCCO1)c1ncnc2[nH]c(nc12)-c1ccc(CO)cc1	Colony Stimulating?Factor?1	1.3	ChEMBL	"4LIQ,6T2W,4DKD"			
COc1ccc(cc1)-c1cc2c(ncnc2[nH]1)N(C)Cc1ccccc1	Colony Stimulating?Factor?1	1.3	ChEMBL	"4LIQ,6T2W,4DKD"			
COc1ccc(NC(=O)Nc2ccc(cc2)-c2csc3c(cnc(N)c23)-c2cnn(C[C@H](O)CO)c2)cc1	Colony Stimulating?Factor?1	1.34	US Patent	"4LIQ,6T2W,4DKD"			
NC(=O)CN1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
[O-][n+]1cccc(c1)C(=O)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CNC(=O)c1cn(-c2ccc3CCCc3c2)c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2c1=O	Colony Stimulating?Factor?1	1.4	Curated from the literature by BindingDB	"4LIQ,6T2W,4DKD"			
CC1(C)CC(CC(C)(C)O1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(n1)C1=CCCCC1 |t:29|	Colony Stimulating?Factor?1	1.4	US Patent	4EXP			
CSCCNC(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:26|	Colony Stimulating?Factor?1	1.4	US Patent	4EXP			
C[C@H]1C[C@](O)(C[C@@H](C)O1)c1ccc(NC(=O)c2nc(c[nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.4	US Patent	4EXP			
O=C(Nc1ccc(CCN2CCOCC2)cc1C1=CCCCC1)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(O)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
[O-][n+]1cccc(c1)-c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
COc1cccc(NC(=O)c2ccc(C)c(c2)C#Cc2cc(cnc2N)-c2cnn(C)c2)c1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(NC(=O)c2ccc(C)c(c2)C#Cc2cc(cnc2N)-c2cnn(C)c2)cc1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Nc1nccc(COc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)c1Cl	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(NC(=O)Nc1ccc(Oc2ncnc3cc(ccc23)N(C)C)cc1)c1nccs1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CN1CCN(CCC(=O)Nc2c(C)[nH]c(\C=C3/C(=O)Nc4cc(NC(=O)Nc5cc(on5)C(C)(C)C)ccc34)c2C)CC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1[nH]c(\C=C2/C(=O)Nc3cc(NC(=O)Nc4cc(on4)C(C)(C)C)ccc23)c(C)c1NC(=O)CCN1CCCCC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cc1[nH]c(\C=C2/C(=O)Nc3cc(NC(=O)Nc4cc(on4)C(C)(C)C)ccc23)c(C)c1NC(=O)CCN1CCCC1	Colony Stimulating?Factor?1	1.4	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
Cn1cc(cn1)-c1cc(Oc2ccc(NC(=O)N3CCC4(CN(C4)S(C)(=O)=O)C3=O)nc2)ccn1	Colony Stimulating?Factor?1	1.4	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CN(Cc1cccc(C)c1)c1ncnc2[nH]c(cc12)-c1ccc(O)cc1	Colony Stimulating?Factor?1	1.4	ChEMBL	"4LIQ,6T2W,4DKD"			
COc1ccc(cc1F)-c1cc2c(ncnc2[nH]1)N(C)Cc1cccc(C)c1	Colony Stimulating?Factor?1	1.4	ChEMBL	"4LIQ,6T2W,4DKD"			
CNc1ccc(c2CNC(=O)c12)-c1cnc(Nc2ccc(nc2)N(C)C)cc1C	Colony Stimulating?Factor?1	1.41	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
O=C(Nc1ccc(CCN2CCOCC2)cc1C1=CCCCC1)c1ccc(o1)C#N |t:19|	Colony Stimulating?Factor?1	1.43	US Patent	4EXP			
CS(=O)(=O)CCN1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.5	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CS(=O)(=O)CCN1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	1.5	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
COCC(O)Cc1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:24|	Colony Stimulating?Factor?1	1.5	US Patent	4EXP			
CCN1CCN(CC1)C(C)(C)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:30|	Colony Stimulating?Factor?1	1.5	US Patent	4EXP			
CC(C)(N1CCCCC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:28|	Colony Stimulating?Factor?1	1.5	US Patent	4EXP			
