Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1cc(ccc1CN1CC2(C1)CN(C2)C(C)=O)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CNC(=O)C3)c(OC)n1	Programmed?Cell?Death?1	0.76	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
Cc1c(NC(=O)c2ccc(CNCCO)cn2)cccc1-c1ccnc(c1Cl)-c1ccc(CNC[C@@H]2CCC(=O)N2)c(OC(F)F)c1	Programmed?Cell?Death?1	0.76	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(cn2cc(CN3CC4(C3)CN(C4)C(C)=O)nc12)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CNC[C@@H]2CCC(=O)N2)c(OC)n1	Programmed?Cell?Death?1	0.767	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(cc(F)c1CN1CC2(CC(O)C2)C1)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CNC[C@@H]2CCC(=O)N2)c(OC)n1	Programmed?Cell?Death?1	0.77	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(cnc1CN1CC2(C1)CN(C2)C(C)=O)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CN(C3)C(C)=O)c(OC)n1	Programmed?Cell?Death?1	0.77	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(cn2cc(CN3CC(C)(O)C3)nc12)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CN2CC(C)(O)C2)c(OC)n1	Programmed?Cell?Death?1	0.77	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1nc(ccc1CNC1CCN(CC1)C(C)=O)-c1cccc(c1Cl)-c1ccnc(c1Cl)-c1ccc2CNCc2c1	Programmed?Cell?Death?1	0.78	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(ccc1CN1CC2(C1)CNC(=O)C2)-c1ncnc(c1C)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CNC(=O)C3)c(OC)n1	Programmed?Cell?Death?1	0.78	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(cn2nc(CN(C)CCO)nc12)-c1nccc(c1Cl)-c1cccc(c1Cl)-c1ccc(CNC2CCN(CC2)C(C)=O)c(OC)n1	Programmed?Cell?Death?1	0.78	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
COc1cc(ccc1CN1CC2(C1)CN(C2)C(C)=O)-c1nccc(c1C)-c1cccc(c1Cl)-c1ccc(CN2CC3(C2)CN(C3)C(C)=O)c(OC)n1	Programmed?Cell?Death?1	0.787	US Patent	"7XAE,5IUS,5JDR,3BIS,3BIK,5GRJ,8AOM,6PV9,4Z18,3SBW,5XJ4,3FN3,7TPS,7XYQ,7C88,8P1O,5N2D,5J89,7OUN,5O45,5N2F,5J8O,7UXQ,7UXP,7UXO,7UX5,6VQN,8R6Q,8K5N,8JBA,8ALX,7NLD,7BEA,6YCR,6RPG,6R3K,5NIU,5GGT,7VUN,7DY7,7CZD,8OR1,8RPB,5XXY,5JDS,4ZQK,7DCV,6L8R"
