Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
CC1(C)SSC[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O	SRC?Proto-Oncogene	14400	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
COc1cc(ccc1NC(=O)c1cc2ccccc2n1C)-c1csc2c(\C=C\CNC3CCNCC3)cnc(N)c12	SRC?Proto-Oncogene	14400	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
NC(=O)c1c(N)n(nc1-c1ccc(Oc2cccc(n2)C(F)(F)F)cc1)[C@@H]1CCCN(C1)C#N	SRC?Proto-Oncogene	14400	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
Oc1ccc(cc1O)C1C(=O)C(=O)C(C(=O)C1=O)c1ccccc1	SRC?Proto-Oncogene	14500	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
COc1ccc(\C=C\C(=O)c2c(O)ccc3c(C)cc(=O)oc23)cc1O	SRC?Proto-Oncogene	14500	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
Oc1ccc2c3cc(O)c(O)cc3n(c2c1O)S(=O)(=O)c1ccccc1	SRC?Proto-Oncogene	15000	Curated from the literature by BindingDB	"8JN9,8JN8,2H8H,2SRC,1Y57,1FMK,2PTK,8JF3,6ATE,4MXO,4MXX,2BDJ,2BDF,8HAQ,6E6E,1YI6"
Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	SRC?Proto-Oncogene	15000	ChEMBL	
Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1	SRC?Proto-Oncogene	15000	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
C[C@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(=O)NCCCc1ccccc1	SRC?Proto-Oncogene	15000	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
Oc1cc(O)c2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O	SRC?Proto-Oncogene	15000	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
Nc1n[nH]c2cc(ccc12)-c1ccc(cc1)C(=O)NCCNC(=O)c1ccc(Cl)c(c1)C(F)(F)F	SRC?Proto-Oncogene	15100	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
CN(C)CCNC(=O)c1c(SSc2c(C(=O)NCCN(C)C)c3ccccc3n2C)n(C)c2ccccc12	SRC?Proto-Oncogene	15200	ChEMBL	"1FMK,1HCS,1HCT,1O41,1O42,1O43,1O44,1O45,1O46,1O47,1O48,1O49,1O4A,1O4B,1O4C,1O4D,1O4E,1O4F,1O4G,1O4H,1O4I,1O4J,1O4K,1O4L,1O4M,1O4N,1O4O,1O4P,1O4Q,1O4R,1SHA,1SHB,1SHD,1SPR,1SPS,1Y57,1YI6,2BDF,2BDJ,2H8H,2PTK,2SRC,4MXO,4MXX,4OML,4OMO,5OB0,5OB1,6ATE,6E6E,7A34,7A35,7A36,7A37,7A3D,7PVY,7PVZ"
