Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
OC(=O)c1ccc(cc1O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	546	"3CWG,6NJS,6NUQ,6TLC"
Oc1cc(N(Cc2ccc(cc2)C2CCCCC2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)cc1C([O-])=O	Signal transducer and activator of transcription 3	562	"3CWG,6NJS,6NUQ,6TLC"
Fc1cc(Br)ccc1CN1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	564	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)NCCCC(N)=O	Signal transducer and activator of transcription 3	574	"3CWG,6NJS,6NUQ,6TLC"
Oc1cc(ccc1C([O-])=O)N(Cc1ccc(cc1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	583	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)CNC(C)=O	Signal transducer and activator of transcription 3	589	"3CWG,6NJS,6NUQ,6TLC"
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@@](C)(CCC(=O)C(C)=C)[C@H]3CC[C@]4(C)[C@@H]3[C@H](O)C[C@@H]3[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	Signal transducer and activator of transcription 3	590	"3CWG,6NJS,6NUQ,6TLC"
NC(=O)C1CCN(C1)C(=O)[C@@H]1Cc2cccc3CC[C@H](NC(=O)\C=C\c4ccc(OP(O)(O)=O)cc4)C(=O)N1c23	Signal transducer and activator of transcription 3	595	"3CWG,6NJS,6NUQ,6TLC"
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(CCc2ccccc2)CC1	Signal transducer and activator of transcription 3	595	"3CWG,6NJS,6NUQ,6TLC"
NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CC[C@H](NC(=O)\C=C\c3ccc(OP(O)(O)=O)cc3)C(=O)N12)C(=O)NCc1ccccc1	Signal transducer and activator of transcription 3	604	"3CWG,6NJS,6NUQ,6TLC"
