Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)NCCS(C)(=O)=O)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.7	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1CCNC[C@@H]1C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.7	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)N1CC2(COC2)C1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.7	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)C1CCCO1)-c1cc(c2ncnn2c1)C(F)(F)F	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(cc2c1CC(F)F)C1CCNCC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)C1CN(C)C(=O)C1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CCOc1cc(cn2ncnc12)-c1[nH]c2ccc(cc2c1C(C)C)C1CCN(CC(=O)N(C)C)CC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2ccnn2C)CC1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2cnc(C)nc2)CC1)-c1cc(CO)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2ncccn2)CC1)-c1cc(CO)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)CN1CCC(F)(F)CC1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CNC(=O)CNC1CCC(C1)c1ccc2[nH]c(c(C(C)C)c2n1)-c1cc(OC)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)N1[C@H]2C[C@@H]1CN(C2)c1ccc2[nH]c(c(C(C)C)c2n1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)CN1CCC(F)(F)CC1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)C1CCCO1)-c1cc(c2ncnn2c1)C(F)(F)F	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1C[C@@H](C)N([C@H](C)C1)C(=O)CCN(C)C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1CCN(CC1)C(=O)CN1CCC(C)(O)C1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)N1CC(C1)C(=O)N(C)C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(nc2c1C(C)C)N1CCN(CCCS(C)(=O)=O)CC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1CCCNCC1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(nc2c1C(C)C)C1CCC(CC1)NC1COC1	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2cc(C)c(nc2c1C(C)C)C1CCC(CC1)NC1(C)COC1	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2cc(C)c(nc2c1C(C)C)C1CCC(CC1)N(C)CC(C)(C)C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)N(C)C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(cc2c1CC(F)F)C1CCNCC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)C1CN(C)C(=O)C1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)NCC1CCCCS1(=O)=O)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CCOc1cc(cn2ncnc12)-c1[nH]c2ccc(cc2c1C(C)C)C1CCN(CC(=O)N(C)C)CC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2ccnn2C)CC1)-c1cc(C)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(OCC3CCN(CCS(C)(=O)=O)CC3)nc2c1C(C)C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2cnc(C)nc2)CC1)-c1cc(CO)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(Cc2ncccn2)CC1)-c1cc(CO)c2ncnn2c1	Toll-like receptor 7	2.8	US Patent	7CYN
CNC(=O)CN1CCC(CC1)c1ccc2[nH]c(c(C(C)C)c2c1)-c1cc(C)ncc1F	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)C1(C)CCNCC1)-c1cc(C)nc(C)c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC(=O)N2CCC(F)C2)CC1)-c1cc(C)nc(C)c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)CNCC1CC1)-c1cc(C)nc(C)c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(cc12)C1CCN(CC1)C(=O)CN(C)CC#N)-c1cc(C)nc(C)c1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1CCCNCC1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2ccc(nc2c1C(C)C)C1CCC(CC1)NC1COC1	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)N1[C@H]2C[C@@H]1CN(C2)c1ccc2[nH]c(c(C(C)C)c2n1)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2cc(C)c(nc2c1C(C)C)C1CCC(CC1)NC1(C)COC1	Toll-like receptor 7	2.8	US Patent	7CYN
COc1cc(cn2ncnc12)-c1[nH]c2cc(C)c(nc2c1C(C)C)C1CCC(CC1)N(C)CC(C)(C)C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)N(C)C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)C1CCC(CC1)NCC1CCCCS1(=O)=O)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
CC(C)c1c([nH]c2ccc(nc12)N1C[C@@H](C)N([C@H](C)C1)C(=O)CCN(C)C)-c1cn2ncnc2c(C)c1C	Toll-like receptor 7	2.8	US Patent	7CYN
