Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(=O)NC(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.3	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n([C@@H]2CCN(C2)C(=O)OC(C)(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.3	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(=O)(=O)C(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(=O)(=O)N(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(=O)(=O)C2CCS(=O)(=O)C2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.4	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(OCCN2CCCC2)cc1)C1CCC(=O)NC1=O	Tumor necrosis factor	0.52	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(CN2CCOCC2)cc1)[C@H]1CCC(=O)NC1=O	Tumor necrosis factor	0.59	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CCNC(=O)N1CCC(CC1)n1c2c3cccc(OC)c3ncc2c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	0.6	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(CCN2CCOCC2)cc1)C1CCC(=O)NC1=O	Tumor necrosis factor	0.79	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCC(C)CC2)c(=O)n(-c2ccc(Cl)cc2)c1=O	Tumor necrosis factor	0.9	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(OCCN2CCOCC2)cc1)C1CCC(=O)NC1=O	Tumor necrosis factor	0.96	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCC(C)CC2)c(=O)n(-c2cccc(C)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CCCCn1c2c3cccc(OC)c3ncc2c(=O)n(-c2cccc(C)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(=O)OC(C)(C)C)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(=O)c2ccccc2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)S(=O)(=O)c2ccccc2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CC[C@@H](CC2)C(O)=O)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCN(CC2)C(=O)OC(C)(C)C)c(=O)n(-c2ccc3OCOc3c2)c1=O	Tumor necrosis factor	1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
O=C1N(Cc2c1cccc2OCc1ccc(CN2CCOCC2)cc1)C1CCC(=O)NC1=O	Tumor necrosis factor	1.8	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCCC2)c(=O)n(-c2ccc3OCOc3c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
COc1cccc2c1ncc1c2n(C2CCC(F)(F)CC2)c(=O)n(-c2cccc(Cl)c2)c1=O	Tumor necrosis factor	2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
