smiles,ScientificName,TCMMedicinesContaining
C1[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)OC(=O)C3=CC(=C(C(=C3C4=C(C(=C5C6=C4C(=O)OC7=C(C(=C(C8=C(C(=C(C=C8C(=O)O1)O)O)O)C(=C67)C(=O)O5)O)O)O)O)O)O)O,"(10S,11R,12R,13R,15R)-3,4,5,11,12,13,21,22,23,26,27,38,39-tridecahydroxy-9,14,17,29,36-pentaoxaoctacyclo[29.8.0.02,7.010,15.019,24.025,34.028,33.032,37]nonatriaconta-1(39),2,4,6,19,21,23,25,27,31,33,37-dodecaene-8,18,30,35-tetrone",Punica granatum (Shi Liu)
CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC(=C(C=C54)OC)OC)OCO3,"(12S)-16,17-dimethoxy-11-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.02,6.08,20.014,19]icosa-1(20),2(6),7,14,16,18-hexaene",Lindera megaphylla
CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=C4C(=C(C=C5)OC)O)OCO3,"(12S)-17-methoxy-11-methyl-3,5-dioxa-11-azapentacyclo[10.7.1.02,6.08,20.014,19]icosa-1(20),2(6),7,14(19),15,17-hexaen-18-ol",Corydalis species
CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC5=C(C=C43)OCO5)OC)OC,"(12S)-18,19-dimethoxy-13-methyl-5,7-dioxa-13-azapentacyclo[10.7.1.02,10.04,8.016,20]icosa-1(20),2,4(8),9,16,18-hexaene",Nandina domestica (Nan Tian Zhu)
C[C@@H]1[C@@H]2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,"(13S,13aR)-2,3,9,10-tetramethoxy-13-methyl-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline",Corydalis yanhusuo (Yan Hu Suo)
COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,"(13aS)-2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline",Corydalis yanhusuo (Yan Hu Suo)
CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,"(14S,27R)-22,33-dimethoxy-13,28-dimethyl-2,5,7,20-tetraoxa-13,28-diazaoctacyclo[25.6.2.216,19.13,10.121,25.04,8.031,35.014,39]nonatriaconta-1(33),3(39),4(8),9,16(38),17,19(37),21,23,25(36),31,34-dodecaene",Stephania cepharantha
CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,"(19S)-19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaene-14,18-dione",Camptotheca acuminata (Xi Shu)
C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene",Humulus lupulus; Cannabis sativa
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",Curcuma longa (Jiang Huang)
C1=CC(=CC=C1/C=C/C(=O)CC(=O)/C=C/C2=CC=C(C=C2)O)O,"(1E,6E)-1,7-bis(4-hydroxyphenyl)hepta-1,6-diene-3,5-dione",Curcuma longa (Jiang Huang)
COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC=C(C=C2)O)O,"(1E,6E)-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)hepta-1,6-diene-3,5-dione",Curcuma longa (Jiang Huang)
C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,"(1R)-1,6,6-trimethyl-2,7,8,9-tetrahydro-1H-naphtho[1,2-g][1]benzofuran-10,11-dione",Salvia miltiorrhiza (Dan Shen)
C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C,"(1R)-1,6-dimethyl-1,2-dihydronaphtho[1,2-g][1]benzofuran-10,11-dione",Salvia miltiorrhiza (Dan Shen)
CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)O)OC)OC)OC,"(1R)-1-[[(2S,3R,11bS)-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizin-2-yl]methyl]-7-methoxy-1,2,3,4-tetrahydroisoquinolin-6-ol",Psychotria ipecacuanha
