compound_index	smiles	score_ATRIP	score_CSF1	score_PDCD1	score_SRC	score_STAT3	score_TLR7	score_TNF	agg_score	aggregation
826	CCc1c2cc(ccc2nc2-c3cc4c(COC(=O)[C@@]4(CC)O)c(=O)n3Cc12)OC(=O)N1CCC(CC1)N1CCCCC1	0.389071	0.358269	0.426745	0.366853	0.370791	0.519852	0.418088	0.404067	geometric
1161	COc1cc2N(C)[C@@H]3[C@@]4(c2cc1[C@]1(C[C@@H]2CN(CCc5c1[nH]c1c5cccc1)C[C@](C2)(O)CC)C(=O)OC)CCN1[C@H]4[C@@]([C@H]([C@]3(O)C(=O)OC)OC(=O)C)(CC)C=CC1	0.397627	0.367323	0.402045	0.399833	0.370576	0.474871	0.394240	0.399667	geometric
1327	CC[C@@]1(C[C@@H]2C[C@](c3cc4c(cc3OC)N(C=O)[C@@H]3[C@@]54CCN4CC=C[C@](CC)([C@@H]54)[C@H]([C@@]3(C(=O)OC)O)OC(=O)C)(c3c(CCN(C2)C1)c1ccccc1[nH]3)C(=O)OC)O	0.397599	0.366620	0.398356	0.399448	0.373367	0.469424	0.398685	0.399382	geometric
805	CC[C@@]1(C[C@H]2C[C@](c3cc4c(cc3OC)N(C)[C@@H]3[C@@]54CCN4CC=C[C@](CC)([C@@H]54)[C@H]([C@@]3(C(=O)OC)O)OC(=O)C)(c3c(CCN(C2)C1)c1ccccc1[nH]3)C(=O)OC)O	0.397743	0.366545	0.399965	0.398813	0.369439	0.475708	0.393559	0.398948	geometric
1765	CCC1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4cc3Cn1c2=O)O	0.421367	0.356342	0.403885	0.349985	0.365286	0.481145	0.409677	0.396042	geometric
2373	CC[C@@]1(C[C@H]2C[C@](c3cc4c(cc3OC)N(C)[C@@H]3[C@@]54CCN4CC=C[C@](CC)([C@@H]54)[C@H]([C@@]3(C(=O)OC)O)OC(=O)C)(c3c(CCN(C2)C1)c1ccccc1[nH]3)C(=O)OC)O.OS(=O)(=O)O	0.401597	0.361328	0.394272	0.392252	0.366805	0.472963	0.387917	0.395374	geometric
1744	CC[C@@]1(c2cc3-c4c(cc5ccccc5n4)Cn3c(=O)c2COC1=O)OC(=O)C	0.427935	0.355020	0.399554	0.345501	0.361872	0.479026	0.410538	0.394707	geometric
2027	CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C8(COC(C79C(O9)C)N(C8CC1=C6NC2=CC=CC=C12)C)C(=O)OC)OC)C(=O)OC	0.393643	0.353060	0.391436	0.381958	0.358453	0.515206	0.388648	0.394665	geometric
346	CC[C@@H]1c2cc3-c4c(cc5ccccc5n4)Cn3c(=O)c2COC1=O	0.436720	0.357801	0.406970	0.338764	0.349993	0.494872	0.396823	0.394257	geometric
2186	CN1CCC[C@@H]1C2=C(C=CC3=C2NC4=C3CC[N+]5=C4C(=C(C(=C5)C=C)C[C@H]6C7=C(CCN6C)C8=CC=CC=C8N7)O)O.[Cl-]	0.395587	0.345126	0.416793	0.355857	0.355975	0.559101	0.366785	0.394164	geometric
