compound_index	smiles	score_ATRIP	score_CSF1	score_PDCD1	score_SRC	score_STAT3	score_TLR7	score_TNF	agg_score	aggregation
711	CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	0.397357	0.365283	0.397629	0.399334	0.371724	0.466319	0.397422	0.398209	geometric
710	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	0.396418	0.365237	0.400163	0.398762	0.367648	0.474769	0.392801	0.398077	geometric
7	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	0.424216	0.351198	0.394333	0.339034	0.353221	0.469127	0.400829	0.387964	geometric
323	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C	0.400307	0.356869	0.344349	0.357733	0.375458	0.480268	0.379883	0.382844	geometric
715	CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC	0.365139	0.343985	0.346528	0.370601	0.354835	0.501579	0.377530	0.377071	geometric
476	C1OC2=C(O1)C3=C4C(=C2)C=CN=C4C(=O)C5=CC=CC=C53	0.390768	0.353587	0.410286	0.374249	0.331558	0.419670	0.359409	0.375926	geometric
705	CCC1=C[C@H]2C[C@]3([C@@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC	0.372096	0.341912	0.331898	0.351167	0.344728	0.507003	0.360668	0.369182	geometric
415	CC1=C2C=CC(=C(C2=C[N+]3=C1C4=CC(=C(C=C4CC3)OC)OC)OC)OC	0.340065	0.339277	0.412884	0.370400	0.329544	0.445107	0.358015	0.368722	geometric
706	CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC	0.311241	0.345490	0.359905	0.364760	0.360466	0.444620	0.381070	0.364944	geometric
421	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC	0.351568	0.336130	0.402495	0.367083	0.331117	0.409711	0.355627	0.363735	geometric
726	CC[C@@H]1CN2CCC3=C([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)NC4=C3C(=CC=C4)OC	0.341160	0.337263	0.344615	0.350026	0.341240	0.482291	0.363248	0.362951	geometric
410	COC1=C(C=C2CC[N+]3=C(C2=C1)C=C4C=CC5=C(C4=C3)OCO5)O	0.355383	0.333559	0.399044	0.359755	0.331399	0.409194	0.356805	0.362554	geometric
725	CC[C@H]1CN2CCC3=C([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)NC4=C3C(=CC=C4)OC	0.340449	0.336588	0.344576	0.349752	0.340369	0.482228	0.362481	0.362444	geometric
481	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC	0.347917	0.336380	0.398557	0.366411	0.330484	0.408128	0.355506	0.362310	geometric
409	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	0.349591	0.334443	0.396164	0.364253	0.329294	0.409616	0.358430	0.362067	geometric
407	COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC	0.351524	0.334960	0.392503	0.363135	0.332273	0.406184	0.360097	0.362064	geometric
416	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC	0.344573	0.335048	0.398241	0.365864	0.327960	0.406636	0.355750	0.360938	geometric
411	COC1=C(C=CC2=CC3=[N+](CCC4=CC5=C(C=C43)OCO5)C=C21)O	0.350747	0.332662	0.384513	0.359722	0.329086	0.405577	0.352651	0.358403	geometric
629	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	0.301342	0.337819	0.440644	0.354991	0.338371	0.385094	0.358493	0.357330	geometric
389	CC(C)CC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O	0.327024	0.349576	0.357265	0.353002	0.355079	0.382276	0.379307	0.357224	geometric
