compound_index	smiles	score_ATRIP	score_CSF1	score_PDCD1	score_SRC	score_STAT3	score_TLR7	score_TNF	agg_score	Ingredient name	Herb name
23956	C1CCCC(=O)N2CC(CC2C(=O)NC3(CC3C=CCC1)C(=O)NS(=O)(=O)C4CC4)OC5=CC(=NC6=C7C=CC=CC7=NN56)C8=NC=CN=C8	0.485109	0.376255	0.422702	0.393062	0.399315	0.527744	0.405487	0.427076	Pariphyllin B	Paris Polyphylla
27464	CC1(C=CC2=C(O1)C3=C(C(=CC=C3)OC)N(C2=O)C)CC4C5=C(C=CC(=C5OC)OC)C6=C(N4C)C7=CC8=C(C=C7C=C6)OCO8	0.398183	0.380924	0.475923	0.418301	0.363322	0.437296	0.421758	0.412244	Simulanoquinoline	Flatspine Pricklyash Root
17036	CNC(=O)C1=C(C=CC=C1F)NC2=NC(=NC3=C2C=CN3)NC4=C(C=C5C=CN(C5=C4)C(=O)CN(C)C)OC	0.401172	0.410919	0.385889	0.501102	0.384601	0.396326	0.40657	0.410835	Benzamide	Carolina Jasmine
1274	CC(C1=C2C=C3C4=C(CCN3C(=O)C2=CN=C1)C5=CC=CC=C5N4)OC	0.450091	0.357322	0.402219	0.350349	0.340925	0.566758	0.389174	0.402257	19-o-methylangustoline	Australia Yew; Common Camptotheac
7737	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5OC)N=C4C3=C2)O	0.427535	0.359886	0.423942	0.359976	0.363873	0.476232	0.418073	0.402153	Methyoxycamptothecine	Common Camptotheac
21711	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5OC)N=C4C3=C2)O	0.427535	0.359886	0.423942	0.359976	0.363873	0.476232	0.418073	0.402153		
30118	CC=C1CN2CCC34C2(CCC1C3C(=O)OC)NC5=C(C(=C(C=C45)OC)C6=C(C=C7C(=C6)C8=C(N7C)C9C1C(C8C(=O)OC)C(CN9C(=O)C(C)C)C(O1)C)OC)C	0.382046	0.360953	0.435636	0.399604	0.365851	0.482398	0.400417	0.401995		
24598	COC1=CC=CC2=C1NC3=C2C(=CN=C3CCN4C=CC5=C6C4=C(C(=O)C(=O)N6C7=CC=CC=C57)OC)OC	0.437902	0.365388	0.400778	0.381925	0.351856	0.491736	0.39733	0.401561		
104	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)OC)OC(=O)C	0.416731	0.359186	0.414076	0.360977	0.368532	0.478843	0.422947	0.401089		
23192	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)OC(=O)C	0.434824	0.359498	0.407187	0.349213	0.365394	0.49054	0.414969	0.400517		
2009	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)OC(=O)C	0.434824	0.359498	0.407187	0.349213	0.365394	0.49054	0.414969	0.400517		
20016	CCC12CN3CCC4=C(C(CC(C3)C1O2)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)NC1=CC=CC=C41	0.404626	0.36618	0.401651	0.396845	0.36679	0.473063	0.392503	0.398946		
8812	CCC12CN3CCC4=C(C(CC(C3)C1O2)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)NC1=CC=CC=C41	0.404626	0.36618	0.401651	0.396845	0.36679	0.473063	0.392503	0.398946		
13666	CCC1C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2	0.444557	0.361222	0.408044	0.34228	0.351589	0.504564	0.402556	0.398706		
13667	CCC1C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2	0.444557	0.361222	0.408044	0.34228	0.351589	0.504564	0.402556	0.398706		
